date,value
2011-03-01,317.0
2011-04-01,324.0
2011-05-01,337.0
2011-06-01,332.0
2011-07-01,342.0
2011-08-01,345.0
2011-09-01,346.0
2011-10-01,358.0
2011-11-01,358.0
2011-12-01,354.0
2012-01-01,366.0
2012-02-01,371.0
2012-03-01,367.0
2012-04-01,376.0
2012-05-01,376.0
2012-06-01,371.0
2012-07-01,372.0
2012-08-01,375.0
2012-09-01,372.0
2012-10-01,376.0
2012-11-01,367.0
2012-12-01,355.0
2013-01-01,355.0
2013-02-01,353.0
2013-03-01,346.0
2013-04-01,348.0
2013-05-01,348.0
2013-06-01,326.0
2013-07-01,322.0
2013-08-01,314.0
2013-09-01,315.0
2013-10-01,307.0
2013-11-01,298.0
2013-12-01,287.0
2014-01-01,286.0
2014-02-01,288.0
2014-03-01,291.0
2014-04-01,295.0
2014-05-01,302.0
2014-06-01,293.0
2014-07-01,298.0
2014-08-01,301.0
2014-09-01,294.0
2014-10-01,299.0
2014-11-01,288.0
2014-12-01,276.0
2015-01-01,285.0
2015-02-01,289.0
2015-03-01,285.0
2015-04-01,299.0
2015-05-01,306.0
2015-06-01,296.0
2015-07-01,307.0
2015-08-01,316.0
2015-09-01,316.0
2015-10-01,328.0
2015-11-01,342.0
2015-12-01,342.0
2016-01-01,352.0
2016-02-01,355.0
2016-03-01,358.0
2016-04-01,371.0
2016-05-01,379.0
2016-06-01,357.0
2016-07-01,361.0
2016-08-01,369.0
2016-09-01,374.0
2016-10-01,390.0
2016-11-01,386.0
2016-12-01,375.0
2017-01-01,379.0
2017-02-01,382.0
2017-03-01,391.0
2017-04-01,400.0
2017-05-01,411.0
2017-06-01,380.0
2017-07-01,375.0
2017-08-01,376.0
2017-09-01,366.0
2017-10-01,369.0
2017-11-01,360.0
2017-12-01,329.0
2018-01-01,348.0
2018-02-01,349.0
2018-03-01,335.0
2018-04-01,338.0
2018-05-01,337.0
2018-06-01,311.0
2018-07-01,308.0
2018-08-01,310.0
2018-09-01,311.0
2018-10-01,311.0
2018-11-01,302.0
2018-12-01,293.0
2019-01-01,301.0
2019-02-01,296.0
2019-03-01,304.0
2019-04-01,307.0
2019-05-01,310.0
2019-06-01,299.0
2019-07-01,310.0
2019-08-01,310.0
2019-09-01,311.0
2019-10-01,309.0
2019-11-01,306.0
2019-12-01,299.0
2020-01-01,306.0
2020-02-01,310.0
2020-03-01,324.0
2020-04-01,336.0
2020-05-01,331.0
2020-06-01,295.0
2020-07-01,282.0
2020-08-01,270.0
2020-09-01,247.0
2020-10-01,240.0
2020-11-01,227.0
2020-12-01,216.0
2021-01-01,219.0
2021-02-01,228.0
2021-03-01,218.0
2021-04-01,224.0
2021-05-01,239.0
2021-06-01,232.0
2021-07-01,236.0
2021-08-01,237.0
2021-09-01,234.0
2021-10-01,233.0
2021-11-01,236.0
2021-12-01,235.0
2022-01-01,251.0
2022-02-01,257.0
2022-03-01,266.0
2022-04-01,272.0
2022-05-01,279.0
2022-06-01,273.0
2022-07-01,284.0
2022-08-01,290.0
2022-09-01,292.0
2022-10-01,304.0
2022-11-01,307.0
2022-12-01,307.0
2023-01-01,324.0
2023-02-01,336.0
2023-03-01,335.0
2023-04-01,354.0
2023-05-01,365.0
2023-06-01,361.0
2023-07-01,363.0
2023-08-01,361.0
2023-09-01,354.0
2023-10-01,356.0
2023-11-01,353.0
2023-12-01,329.0
2024-01-01,338.0
2024-02-01,338.0
2024-03-01,333.0
2024-04-01,337.0
2024-05-01,343.0
2024-06-01,329.0
2024-07-01,330.0
2024-08-01,333.0
2024-09-01,334.0
2024-10-01,330.0
2024-11-01,327.0
2024-12-01,308.0
2025-01-01,334.0
2025-02-01,341.0
2025-03-01,344.0
2025-04-01,367.0
2025-05-01,372.0
2025-06-01,375.0
2025-07-01,396.0
2025-08-01,414.0
2025-09-01,409.0
2025-10-01,418.0
2025-11-01,424.0
2025-12-01,420.0
2026-01-01,444.0
2026-02-01,464.0
2026-03-01,452.0
2026-04-01,464.0
2026-05-01,474.0
2026-06-01,458.0
2026-07-01,488.0
